# F(Thz)          sk_xx       sk_yy         sk_zz
0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
6.44537223e-02 2.43232135e-03 2.43232152e-03 2.43232147e-03
1.28907445e-01 7.42812783e-03 7.42812844e-03 7.42812828e-03
1.93361167e-01 1.73816217e-02 1.73816234e-02 1.73816230e-02
2.57814889e-01 3.64420785e-02 3.64420828e-02 3.64420817e-02
3.22268612e-01 7.12481216e-02 7.12481315e-02 7.12481289e-02
3.86722334e-01 1.31498550e-01 1.31498571e-01 1.31498565e-01
4.51176056e-01 2.29847122e-01 2.29847162e-01 2.29847152e-01
5.15629779e-01 3.80532380e-01 3.80532450e-01 3.80532432e-01
5.80083501e-01 5.96403143e-01 5.96403256e-01 5.96403227e-01
6.44537223e-01 8.84706906e-01 8.84707076e-01 8.84707032e-01
7.08990946e-01 1.24302750e+00 1.24302774e+00 1.24302767e+00
7.73444668e-01 1.65746506e+00 1.65746536e+00 1.65746528e+00
8.37898390e-01 2.10480951e+00 2.10480986e+00 2.10480977e+00
9.02352112e-01 2.55885535e+00 2.55885572e+00 2.55885562e+00
9.66805835e-01 2.99882061e+00 2.99882097e+00 2.99882088e+00
1.03125956e+00 3.41636720e+00 3.41636754e+00 3.41636745e+00
1.09571328e+00 3.81799507e+00 3.81799536e+00 3.81799529e+00
1.16016700e+00 4.22152882e+00 4.22152904e+00 4.22152899e+00
1.22462072e+00 4.64789167e+00 4.64789183e+00 4.64789180e+00
1.28907445e+00 5.11106358e+00 5.11106371e+00 5.11106370e+00
1.35352817e+00 5.60945857e+00 5.60945868e+00 5.60945870e+00
1.41798189e+00 6.12120663e+00 6.12120675e+00 6.12120680e+00
1.48243561e+00 6.60465551e+00 6.60465567e+00 6.60465576e+00
1.54688934e+00 7.00428375e+00 7.00428398e+00 7.00428412e+00
1.61134306e+00 7.26120200e+00 7.26120230e+00 7.26120251e+00
1.67579678e+00 7.32639860e+00 7.32639900e+00 7.32639926e+00
1.74025050e+00 7.17388837e+00 7.17388885e+00 7.17388916e+00
1.80470422e+00 6.81029231e+00 6.81029283e+00 6.81029317e+00
1.86915795e+00 6.27766010e+00 6.27766063e+00 6.27766097e+00
1.93361167e+00 5.64782272e+00 5.64782320e+00 5.64782352e+00
1.99806539e+00 5.00898730e+00 5.00898771e+00 5.00898799e+00
2.06251911e+00 4.44792245e+00 4.44792279e+00 4.44792300e+00
2.12697284e+00 4.03269257e+00 4.03269282e+00 4.03269298e+00
2.19142656e+00 3.80055605e+00 3.80055621e+00 3.80055633e+00
2.25588028e+00 3.75357713e+00 3.75357724e+00 3.75357732e+00
2.32033400e+00 3.86182426e+00 3.86182435e+00 3.86182440e+00
2.38478773e+00 4.07211894e+00 4.07211902e+00 4.07211907e+00
2.44924145e+00 4.31995450e+00 4.31995459e+00 4.31995464e+00
2.51369517e+00 4.54252768e+00 4.54252779e+00 4.54252786e+00
2.57814889e+00 4.69063200e+00 4.69063214e+00 4.69063222e+00
2.64260262e+00 4.73703030e+00 4.73703046e+00 4.73703055e+00
2.70705634e+00 4.67958947e+00 4.67958964e+00 4.67958975e+00
2.77151006e+00 4.53848606e+00 4.53848623e+00 4.53848634e+00
2.83596378e+00 4.34820632e+00 4.34820648e+00 4.34820658e+00
2.90041750e+00 4.14701354e+00 4.14701367e+00 4.14701376e+00
2.96487123e+00 3.96738900e+00 3.96738911e+00 3.96738918e+00
3.02932495e+00 3.82985267e+00 3.82985275e+00 3.82985280e+00
3.09377867e+00 3.74085340e+00 3.74085346e+00 3.74085349e+00
3.15823239e+00 3.69405901e+00 3.69405904e+00 3.69405907e+00
3.22268612e+00 3.67374738e+00 3.67374741e+00 3.67374742e+00
3.28713984e+00 3.65924056e+00 3.65924059e+00 3.65924060e+00
3.35159356e+00 3.62986782e+00 3.62986785e+00 3.62986787e+00
3.41604728e+00 3.57002007e+00 3.57002011e+00 3.57002013e+00
3.48050101e+00 3.47343830e+00 3.47343836e+00 3.47343838e+00
3.54495473e+00 3.34558881e+00 3.34558888e+00 3.34558890e+00
